route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
9532,c_5988_b_6309_d_31,t_290997_b_6309_tn_0,,Praça,1,12527,p_176760,,,,,,,,,,
9534,c_5988_b_6309_d_31,t_201990_b_6309_tn_0,,,,12511,p_176761,,,,,,,,,,
9535,c_5988_b_6309_d_31,t_540214_b_6309_tn_0,,Praça,0,12512,p_176762,,,,,,,,,,
9535,c_5988_b_6309_d_31,t_202021_b_6309_tn_0,,,0,12517,p_176764,,,,,,,,,,
9535,c_5988_b_6309_d_31,t_539976_b_6309_tn_0,,Praça,0,12517,p_176763,,,,,,,,,,
9538,c_5988_b_6309_d_32,t_537469_b_6309_tn_0,,Praça,1,12542,p_176770,,,,,,,,,,
9539,c_5988_b_6309_d_31,t_212735_b_6309_tn_0,,,1,12524,p_176772,,,,,,,,,,
9540,c_5988_b_6309_d_31,t_538047_b_6309_tn_0,,Praça,0,12518,p_176774,,,,,,,,,,
9541,c_5988_b_6309_d_31,t_240773_b_6309_tn_0,,São José,1,12512,p_176777,,,,,,,,,,
9541,c_5988_b_6309_d_31,t_201980_b_6309_tn_0,,São José,1,12512,p_176777,,,,,,,,,,
9541,c_5988_b_6309_d_31,t_202019_b_6309_tn_0,,,1,12517,p_176776,,,,,,,,,,
9541,c_5988_b_6309_d_31,t_539975_b_6309_tn_0,,São José,1,12517,p_176775,,,,,,,,,,
9542,c_5988_b_6309_d_31,t_236240_b_6309_tn_0,,,0,12522,p_176779,,,,,,,,,,
9542,c_5988_b_6309_d_31,t_536168_b_6309_tn_0,,Medianeira,0,12522,p_176780,,,,,,,,,,
9542,c_5988_b_6309_d_31,t_201986_b_6309_tn_0,,,0,12512,p_176778,,,,,,,,,,
9542,c_5988_b_6309_d_31,t_267844_b_6309_tn_0,,Medianeira,0,12526,p_176782,,,,,,,,,,
9543,c_5988_b_6309_d_31,t_201997_b_6309_tn_0,,,1,12512,p_176783,,,,,,,,,,
9543,c_5988_b_6309_d_31,t_536169_b_6309_tn_0,,Praça,1,12522,p_176785,,,,,,,,,,
9543,c_5988_b_6309_d_31,t_267845_b_6309_tn_0,,Praça,1,12526,p_176787,,,,,,,,,,
9543,c_5988_b_6309_d_31,t_267469_b_6309_tn_0,,Praça,1,12525,p_176786,,,,,,,,,,
9543,c_5988_b_6309_d_31,t_236241_b_6309_tn_0,,,1,12522,p_176784,,,,,,,,,,
9544,c_5988_b_6309_d_31,t_247608_b_6309_tn_0,,Ipanema,0,12512,p_176788,,,,,,,,,,
9545,c_5988_b_6309_d_31,t_247609_b_6309_tn_0,,Praça,,12512,p_176789,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_204813_b_6309_tn_0,,,1,12512,p_176625,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_204585_b_6309_tn_0,,,1,12522,p_176793,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_204584_b_6309_tn_0,,São José,1,12522,p_176792,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_211533_b_6309_tn_0,,,1,12526,p_176796,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_211535_b_6309_tn_0,,,1,12527,p_176797,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_212356_b_6309_tn_0,,,1,12521,p_176791,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_212357_b_6309_tn_0,,,1,12523,p_176794,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_212358_b_6309_tn_0,,,1,12527,p_176798,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_212359_b_6309_tn_0,,,1,12527,p_176799,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_212360_b_6309_tn_0,,São José,1,12527,p_176800,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_212734_b_6309_tn_0,,,1,12529,p_176801,,,,,,,,,,
9546,c_5988_b_6309_d_31,t_240774_b_6309_tn_0,,,1,12512,p_176625,,,,,,,,,,
