stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2430025,,,Rua Aurora Argentina Dalla Riva Tartarotti com a Rua Rodolpho A. Felicetti,,-29.24857693,-51.35963827,,,0,,America/Sao_Paulo,,,0
2430026,,,Rua Aurora Argentina Dalla Riva Tartarotti com a Rua Rodolpho A. Felicetti,,-29.24865299,-51.35968253,,,0,,America/Sao_Paulo,,,0
2430027,,,Rua Aurora Argentina Dalla Riva Tartarotti com a Rua Walter Tolosa Corrêa da Silva,,-29.24721,-51.354448,,,0,,America/Sao_Paulo,,,0
2430028,,,Rua Aurora Argentina Dalla Riva Tartarotti com Rua Egide A. Faguerazzi,,-29.2486132,-51.35724574,,,0,,America/Sao_Paulo,,,0
2430029,,,Rua Gerônimo Francischini com a Rua Eliza V. Felte,,-29.25188248,-51.34902075,,,0,,America/Sao_Paulo,,,0
2430030,,,Rua Gerônimo Francischini com a Rua Eliza V. Felter,,-29.25143316,-51.34981602,,,0,,America/Sao_Paulo,,,0
2430031,,,Rua Gerônimo Francischini com a Rua Francisco Fernando de Matos,,-29.25117106,-51.35220051,,,0,,America/Sao_Paulo,,,0
2430032,,,Rua Gerônimo Francischini entre a Rua Leopoldo dos Santos e Zilá Luz d'Ávila,,-29.25110554,-51.35396004,,,0,,America/Sao_Paulo,,,0
2430033,,,Rua Lucindo Loddi com Rua Rialdo Danilo Damin,,-29.24560126,-51.35768965,,,0,,America/Sao_Paulo,,,0
2430034,,,Rua Walter Corrêa da Silva,,-29.250327179551,-51.354745114946,,,0,,America/Sao_Paulo,,,0
2430035,,,Rua Walter Tolosa Corrêa da Silva,,-29.250106018057,-51.354704254882,,,0,,America/Sao_Paulo,,,0
2430036,,,Rua Aurora Argentina Dalla Riva Tartarotti com Rua Egide A. Faguerazzi,,-29.24850555,-51.35729939,,,0,,America/Sao_Paulo,,,0
2430037,,,Rua Walter Tolosa Correa da Silva com beco sem saída,,-29.24653738,-51.35378033,,,0,,America/Sao_Paulo,,,0
2430038,,,Rua Walter Tolosa Correa da Silva depois de Rua Lucindo Loddi,,-29.24540584,-51.35361671,,,0,,America/Sao_Paulo,,,0
2430039,,,Rua Walter Tolosa Correa da Silva antes Rua Lucindo Loddi,,-29.2453017,-51.35351747,,,0,,America/Sao_Paulo,,,0
